,final_score,aces,twos,threes,fours,fives,sixes,three_of_a_kind,four_of_a_kind,full_house,sm_straight,lg_straight,chance,yahtzee
0,180,2,8,6,12,15,18,0,0,25,30,40,24,0
1,197,3,8,6,8,10,18,26,0,25,30,40,23,0
2,129,3,4,6,12,15,12,0,0,25,30,0,22,0
3,204,4,2,9,12,15,18,25,0,25,30,40,24,0
4,217,2,6,9,16,15,18,0,0,25,30,40,21,0
5,158,1,4,6,12,15,24,0,0,25,0,0,21,50
6,289,2,100,3,4,15,12,0,0,25,30,0,13,50
7,164,3,8,3,8,0,24,0,0,25,30,0,13,50
8,145,3,6,9,8,15,18,0,0,0,30,40,16,0
9,231,1,4,12,8,20,24,25,0,0,30,0,22,50
10,248,3,4,9,12,15,24,27,0,25,30,40,24,0
11,264,3,4,9,20,15,30,21,7,25,30,40,25,0
12,169,2,6,9,12,15,18,16,0,0,30,40,21,0
13,157,1,6,9,12,20,18,0,0,0,0,40,16,0
14,176,3,8,6,16,10,18,0,0,25,30,40,20,0
15,196,3,6,9,8,15,18,25,0,25,30,40,17,0
16,190,1,4,6,16,15,12,0,18,25,30,40,23,0
17,402,100,0,9,12,10,18,27,21,25,30,40,25,50
18,158,4,2,3,12,15,24,0,0,0,30,0,18,50
19,315,2,8,3,12,20,18,28,26,25,30,40,18,50
20,183,2,6,9,4,10,18,0,17,25,30,40,22,0
21,174,2,6,9,12,5,6,0,21,25,30,40,18,0
22,229,1,8,6,20,20,24,22,0,0,30,40,23,0
23,234,1,6,12,12,15,18,19,0,25,30,40,21,0
24,196,0,6,9,12,15,18,9,13,25,30,40,19,0
25,203,1,4,9,16,10,18,28,0,25,30,40,22,0
26,234,4,8,12,12,15,18,17,0,25,30,40,18,0
27,498,100,2,12,120,20,12,17,14,25,30,40,21,50
28,145,1,8,9,8,15,12,0,0,0,30,40,22,0
29,130,3,8,12,12,15,6,0,0,25,30,0,19,0
30,224,4,6,6,0,20,24,0,28,0,30,40,16,50
31,292,1,8,9,12,15,18,0,29,25,30,40,20,50
32,152,3,8,9,12,15,18,0,0,0,30,0,22,0
33,192,3,8,6,12,15,12,24,0,25,30,40,17,0
34,242,1,6,6,12,20,18,27,0,25,30,40,22,0
35,255,2,0,9,0,15,18,20,28,25,30,40,18,50
36,372,0,6,9,8,125,18,8,22,0,30,40,21,50
37,165,2,8,9,16,15,12,28,0,25,30,0,20,0
38,216,2,6,6,12,20,18,17,12,0,30,40,18,0
39,128,2,8,9,12,10,18,18,0,0,30,0,21,0
40,232,3,6,15,8,20,18,0,28,0,30,40,29,0
41,171,3,6,9,8,15,18,21,0,0,30,40,21,0
42,194,2,4,3,16,10,18,28,0,25,30,40,18,0
43,193,2,8,0,8,15,18,26,0,25,30,40,21,0
44,248,4,4,6,0,20,18,26,0,25,30,40,25,50
45,171,2,2,9,12,15,12,27,0,0,30,40,22,0
46,189,2,4,12,0,10,18,26,0,25,30,40,22,0
47,180,2,6,9,12,15,18,0,0,25,30,40,23,0
48,289,2,6,9,16,20,18,26,16,0,30,40,21,50
49,201,1,6,9,12,10,24,0,18,25,30,40,26,0
50,191,3,2,9,12,10,12,23,0,25,30,40,25,0
51,504,1,6,9,12,125,12,27,110,25,30,40,22,50
52,163,1,6,9,12,15,12,19,0,0,30,40,19,0
53,345,3,110,9,12,20,18,19,0,25,30,0,14,50
54,266,2,6,12,12,15,18,23,22,25,30,40,26,0
55,131,1,6,6,8,20,18,0,0,25,30,0,17,0
56,194,3,2,6,16,10,12,29,0,25,30,40,21,0
57,273,3,6,9,12,10,18,28,18,25,30,40,24,50
58,155,2,6,12,16,10,6,26,0,25,30,0,22,0
59,212,2,8,9,16,15,18,20,0,0,30,40,19,0
60,192,2,4,3,12,15,18,19,0,25,30,40,24,0
61,209,2,6,15,12,20,18,23,0,25,30,0,23,0
62,209,2,4,12,8,10,12,22,26,25,30,40,18,0
63,220,1,4,12,4,15,12,27,25,25,30,40,25,0
64,156,2,6,12,16,10,24,0,0,0,30,0,21,0
65,242,0,6,9,20,15,18,22,0,25,30,40,22,0
66,113,2,6,9,12,15,18,0,0,0,30,0,21,0
67,201,3,8,9,12,15,18,23,0,25,30,0,23,0
68,177,2,4,12,12,15,18,0,0,25,30,0,24,0
69,166,2,4,6,12,15,18,24,0,0,30,40,15,0
70,200,0,8,12,8,15,12,25,0,25,30,40,25,0
71,185,2,6,12,12,20,24,0,0,25,30,0,19,0
72,97,2,4,6,8,5,18,0,0,0,0,40,14,0
73,218,1,2,12,8,10,18,22,0,0,30,40,25,50
74,157,2,8,12,12,20,18,0,0,0,30,0,20,0
75,179,2,6,15,8,10,24,15,16,0,30,0,18,0
76,309,0,4,9,12,15,24,23,23,25,30,40,19,50
77,183,3,10,6,8,10,18,11,0,25,30,40,22,0
78,245,2,6,9,8,20,24,23,0,25,30,40,23,0
79,235,0,6,9,16,20,18,20,24,0,30,40,17,0
80,248,2,6,12,12,20,24,22,0,25,30,40,20,0
81,191,2,6,6,12,20,18,20,0,25,30,0,17,0
82,194,2,2,12,12,15,0,28,0,25,30,0,18,50
83,205,2,2,12,16,15,18,0,21,0,30,40,14,0
84,171,3,6,9,8,15,18,25,0,0,30,40,17,0
85,221,2,8,12,12,15,24,0,25,0,30,40,18,0
86,180,1,8,3,12,15,24,0,26,0,30,0,26,0
87,248,4,6,12,8,15,24,25,0,25,30,40,24,0
88,270,3,8,9,8,25,18,25,22,25,30,40,22,0
89,264,1,4,12,16,25,24,19,13,25,30,40,20,0
90,151,1,8,6,8,20,18,0,0,0,30,40,20,0
91,156,3,0,6,12,15,18,26,0,25,30,0,21,0
92,365,0,8,3,8,15,130,0,0,25,30,40,21,50
93,157,2,6,6,12,15,24,13,0,0,30,0,14,0
94,236,3,2,6,8,15,18,25,26,25,0,40,18,50
95,197,2,4,9,12,15,18,0,26,25,30,40,16,0
96,207,1,2,6,12,10,24,19,16,25,30,40,22,0
97,218,1,2,9,16,20,18,0,0,25,30,40,22,0
98,166,1,8,9,12,15,12,0,21,0,30,40,18,0
99,230,0,6,9,12,15,24,0,0,25,30,0,24,50
