,final_score,aces,twos,threes,fours,fives,sixes,three_of_a_kind,four_of_a_kind,full_house,sm_straight,lg_straight,chance,yahtzee
0,254,2,2,12,12,15,12,16,18,25,30,40,20,50
1,212,2,0,9,8,15,6,27,28,25,30,40,22,0
2,187,2,6,3,8,10,12,19,13,25,30,40,19,0
3,163,2,2,3,4,5,12,27,29,25,30,0,24,0
4,226,3,6,6,12,10,18,28,22,25,30,40,26,0
5,409,0,6,6,12,10,130,24,16,25,30,40,25,50
6,194,1,2,6,8,5,12,16,0,0,30,40,24,50
7,242,2,6,9,4,20,18,19,21,0,30,40,23,50
8,211,0,2,9,8,15,12,26,18,25,30,40,26,0
9,205,2,6,9,12,15,18,27,0,25,30,40,21,0
10,187,1,2,6,12,15,6,13,14,25,30,40,23,0
11,195,4,4,3,8,10,12,21,19,25,30,40,19,0
12,178,1,2,6,4,15,12,23,0,25,30,40,20,0
13,189,0,2,6,4,10,12,27,9,25,30,40,24,0
14,202,1,4,6,8,10,6,22,25,25,30,40,25,0
15,213,2,4,9,8,5,12,23,29,25,30,40,26,0
16,184,0,2,0,12,10,18,24,0,25,30,40,23,0
17,173,1,6,3,4,10,12,23,0,25,30,40,19,0
18,166,0,4,3,4,10,12,22,0,25,30,40,16,0
19,191,1,4,3,12,5,6,25,12,25,30,40,28,0
20,178,1,2,6,8,10,12,26,0,25,30,40,18,0
21,223,0,6,9,8,10,12,21,29,25,30,0,23,50
22,271,0,8,6,12,20,12,27,24,25,30,40,17,50
23,262,0,2,6,8,20,12,23,26,25,30,40,20,50
24,205,2,6,3,4,10,12,29,26,25,30,40,18,0
25,195,1,8,9,8,10,12,24,11,25,30,40,17,0
26,268,0,0,12,4,15,18,29,23,25,30,40,22,50
27,197,0,2,12,8,10,6,19,28,25,30,40,17,0
28,163,0,4,3,4,10,12,14,0,25,30,40,21,0
29,207,3,4,9,8,10,18,24,10,25,30,40,26,0
30,217,3,4,6,8,5,18,26,26,25,30,40,26,0
31,204,0,6,9,8,10,12,22,27,25,30,40,15,0
32,137,1,2,0,4,10,12,27,0,25,30,0,26,0
33,209,1,2,6,8,15,12,18,26,25,30,40,26,0
34,204,0,6,6,16,10,18,20,17,25,30,40,16,0
35,207,4,2,12,8,10,18,19,19,25,30,40,20,0
36,278,1,2,6,16,10,24,25,23,25,30,40,26,50
37,209,4,6,6,8,15,18,27,13,25,30,40,17,0
38,208,2,4,6,12,10,18,25,17,25,30,40,19,0
39,260,3,2,9,8,10,6,26,26,25,30,40,25,50
40,212,2,6,6,8,10,12,29,25,25,30,40,19,0
41,200,3,4,0,8,15,18,17,22,25,30,40,18,0
42,264,2,4,6,16,5,12,27,21,25,30,40,26,50
43,217,2,6,6,12,10,6,26,28,25,30,40,26,0
44,197,2,4,3,12,5,6,27,21,25,30,40,22,0
45,231,2,6,6,16,10,18,27,27,25,30,40,24,0
46,208,0,6,6,8,10,12,26,22,25,30,40,23,0
47,246,0,2,6,8,10,12,24,13,25,30,40,26,50
48,216,4,4,12,8,5,18,22,29,25,30,40,19,0
49,188,3,4,6,8,15,18,18,0,25,30,40,21,0
50,396,100,4,9,8,15,18,27,13,25,30,40,22,50
51,225,1,6,12,16,10,12,24,27,25,30,40,22,0
52,186,1,4,6,4,10,12,23,8,25,30,40,23,0
53,181,1,0,9,8,10,6,27,0,25,30,40,25,0
54,153,2,2,3,4,10,12,25,0,0,30,40,25,0
55,520,1,4,3,12,125,130,25,14,25,30,40,26,50
56,264,1,2,6,12,10,12,29,22,25,30,40,25,50
57,199,0,0,9,8,10,12,25,26,25,30,40,14,0
58,178,1,2,6,4,10,12,19,7,25,30,40,22,0
59,242,0,0,6,8,15,18,27,0,25,30,40,23,50
60,213,0,8,6,8,10,12,28,29,25,30,40,17,0
61,242,3,4,6,12,10,12,11,14,25,30,40,25,50
62,228,0,6,9,8,5,12,19,0,25,30,40,24,50
63,226,3,6,6,8,5,12,24,0,25,30,40,17,50
64,190,2,2,6,8,10,6,14,26,25,30,40,21,0
65,218,0,4,6,12,10,18,26,0,0,30,40,22,50
66,171,0,2,6,4,10,12,25,0,25,30,40,17,0
67,206,1,6,12,8,10,6,25,22,25,30,40,21,0
68,203,3,6,9,8,10,12,18,21,25,30,40,21,0
69,254,0,8,6,12,15,6,18,29,25,30,40,15,50
70,161,2,2,3,4,10,6,25,0,25,30,40,14,0
71,177,0,4,3,8,15,6,24,0,25,30,40,22,0
72,179,1,2,6,12,10,12,17,0,25,30,40,24,0
73,377,105,2,9,4,10,12,27,9,25,30,40,19,50
74,262,0,0,6,8,15,18,22,23,25,30,40,25,50
75,185,1,4,9,8,10,18,23,0,25,30,40,17,0
76,206,3,6,3,4,15,12,25,23,25,30,40,20,0
77,213,4,8,9,12,10,6,19,24,25,30,40,26,0
78,221,3,6,12,12,5,12,27,22,25,30,40,27,0
79,245,2,2,6,4,5,12,27,17,25,30,40,25,50
80,274,0,6,12,12,10,12,23,29,25,30,40,25,50
81,235,0,4,3,8,10,6,28,17,25,30,40,14,50
82,200,2,4,6,12,15,12,16,21,25,30,40,17,0
83,193,4,4,3,8,5,12,23,21,25,30,40,18,0
84,188,0,6,3,12,5,12,21,16,25,30,40,18,0
85,258,3,2,9,12,15,24,25,22,25,30,40,16,0
86,263,2,6,0,12,10,12,27,27,25,30,40,22,50
87,160,1,2,6,8,10,12,20,10,0,30,40,21,0
88,216,0,4,9,4,10,12,28,26,25,30,40,28,0
89,194,1,6,9,8,10,12,18,21,25,30,40,14,0
