,final_score,aces,twos,threes,fours,fives,sixes,three_of_a_kind,four_of_a_kind,full_house,sm_straight,lg_straight,chance,yahtzee
0,245,1,6,6,8,20,12,14,8,25,30,40,25,50
1,164,3,8,9,12,10,18,11,0,0,30,40,23,0
2,191,3,6,3,12,15,18,15,0,25,30,40,24,0
3,245,3,6,6,12,20,18,26,0,25,30,40,24,0
4,192,3,0,9,8,15,24,27,11,0,30,40,25,0
5,252,3,2,12,12,15,24,0,29,25,30,40,25,0
6,207,2,10,6,8,15,18,28,0,25,30,40,25,0
7,177,0,8,12,12,15,18,0,0,25,30,0,22,0
8,182,4,8,9,12,5,18,14,0,25,30,40,17,0
9,226,2,6,6,12,20,18,28,25,25,30,0,19,0
10,175,2,6,9,12,15,18,0,0,25,30,40,18,0
11,97,1,8,6,8,10,18,0,0,0,30,0,16,0
12,223,4,6,6,12,25,24,0,0,25,30,40,16,0
13,176,1,4,9,16,15,24,0,0,25,30,0,17,0
14,164,2,6,0,12,15,18,18,7,0,30,40,16,0
15,205,2,10,9,12,15,18,0,29,25,30,0,20,0
16,152,3,4,12,8,15,24,0,0,0,30,0,21,0
17,182,0,4,6,4,20,18,0,17,25,30,40,18,0
18,163,2,6,6,16,15,12,16,0,0,30,40,20,0
19,165,3,6,12,12,10,18,0,16,25,0,40,23,0
20,245,2,6,9,12,25,24,21,0,25,30,40,16,0
21,174,2,6,6,8,20,18,0,0,0,0,40,24,50
22,304,3,6,6,12,20,18,26,18,25,30,40,15,50
23,263,0,10,6,12,20,18,19,25,25,30,40,23,0
24,296,2,6,12,12,20,24,21,19,0,30,40,25,50
25,182,1,4,9,12,15,30,0,0,25,30,0,21,0
26,248,1,0,0,12,10,18,20,18,25,30,40,24,50
27,178,3,8,12,16,10,12,0,0,25,30,40,22,0
28,240,5,8,9,12,15,18,8,13,25,30,40,22,0
29,177,4,4,6,12,15,18,27,18,25,30,0,18,0
30,172,2,4,9,12,20,12,0,0,25,30,40,18,0
31,263,3,6,12,12,15,18,25,23,25,30,40,19,0
32,160,2,6,12,16,5,6,0,0,25,30,40,18,0
33,187,4,6,9,8,15,18,27,22,25,30,0,23,0
34,200,2,2,9,12,20,12,25,0,25,30,0,13,50
35,189,1,6,9,8,10,18,22,0,25,30,40,20,0
36,183,4,8,12,16,10,18,0,0,25,30,0,25,0
37,199,2,8,6,12,15,18,0,22,25,30,40,21,0
38,259,3,6,9,12,15,18,24,19,25,30,40,23,0
39,173,2,4,6,12,15,18,29,0,0,30,40,17,0
40,97,3,4,3,8,20,6,0,0,0,30,0,23,0
41,174,3,6,9,12,15,12,0,0,25,30,40,22,0
42,216,2,2,3,12,15,18,23,22,25,30,40,24,0
43,241,2,6,12,12,10,24,0,27,25,30,40,18,0
44,174,2,4,6,8,15,24,0,0,25,30,40,20,0
45,240,4,6,6,12,20,18,23,0,25,30,40,21,0
46,177,2,4,9,16,15,12,24,8,0,30,40,17,0
47,172,2,2,9,16,20,6,16,22,25,30,0,24,0
48,126,1,6,3,16,15,12,0,26,0,30,0,17,0
49,209,3,4,12,16,15,24,0,26,25,30,0,19,0
50,177,2,2,9,12,15,0,18,0,25,30,40,24,0
51,175,4,4,9,8,15,18,0,0,25,30,40,22,0
52,203,2,4,0,16,15,18,23,11,25,30,40,19,0
53,120,1,2,9,12,5,18,22,0,0,30,0,21,0
54,215,1,10,12,8,15,18,0,0,25,30,40,21,0
55,236,2,6,15,12,15,24,28,7,0,30,40,22,0
56,223,3,4,9,12,15,18,0,0,25,30,40,17,50
57,171,4,4,9,12,15,12,0,0,25,30,40,20,0
58,228,2,4,9,12,15,18,27,18,25,30,0,18,50
59,363,0,6,9,12,100,12,24,0,25,30,40,20,50
60,158,4,4,9,16,20,24,26,0,0,0,0,20,0
61,91,2,6,9,12,5,18,0,0,25,0,0,14,0
62,214,4,2,9,12,15,24,21,0,0,30,40,22,0
63,372,1,110,9,16,5,18,26,26,25,30,0,21,50
64,186,3,4,6,12,10,18,18,8,25,30,40,12,0
65,191,4,4,6,8,10,18,0,28,25,30,40,18,0
66,202,0,6,9,8,15,18,28,0,25,30,40,23,0
67,235,2,4,9,16,20,18,0,11,25,30,40,25,0
68,159,2,2,9,16,15,18,21,0,25,30,0,21,0
69,196,1,2,12,16,15,18,18,0,25,30,0,24,0
70,241,2,2,6,12,15,18,28,0,25,30,40,13,50
71,211,0,4,6,12,25,24,27,0,25,30,0,23,0
72,187,2,6,9,0,10,18,15,0,25,30,0,22,50
73,200,2,4,12,4,15,18,28,0,25,30,40,22,0
74,255,0,8,9,16,20,12,19,17,25,30,40,24,0
75,156,3,6,9,16,10,12,14,0,0,30,40,16,0
76,245,1,4,12,4,15,12,28,0,25,30,40,24,50
77,181,1,8,9,8,0,24,18,0,25,30,40,18,0
78,287,2,4,3,12,20,24,21,0,25,30,40,21,50
79,181,3,2,6,12,20,30,0,0,25,30,0,18,0
80,199,3,8,9,16,15,6,29,0,25,30,40,18,0
81,203,0,6,9,8,15,18,28,0,25,30,40,24,0
82,158,1,2,9,12,15,18,23,0,25,30,0,23,0
83,153,2,2,9,12,15,18,18,0,25,30,0,22,0
84,175,1,4,3,16,15,18,0,0,25,30,40,23,0
85,169,2,6,6,16,15,18,20,0,0,30,0,21,0
86,184,3,2,12,12,10,18,23,0,0,30,0,24,50
87,161,2,4,9,12,10,12,25,0,0,30,40,17,0
