,final_score,aces,twos,threes,fours,fives,sixes,three_of_a_kind,four_of_a_kind,full_house,sm_straight,lg_straight,chance,yahtzee
0,198,2,2,9,12,10,6,23,23,25,30,40,16,0
1,218,0,6,6,12,15,12,22,22,25,30,40,28,0
2,204,3,6,3,12,10,12,24,13,25,30,40,26,0
3,189,2,6,6,12,10,12,19,7,25,30,40,20,0
4,195,1,4,6,12,10,18,25,26,0,30,40,23,0
5,198,0,8,6,8,5,12,18,23,25,30,40,23,0
6,240,1,4,9,8,10,12,27,0,25,30,40,24,50
7,266,4,0,6,12,10,12,28,27,25,30,40,22,50
8,262,2,8,9,4,10,18,26,26,25,30,40,14,50
9,260,2,2,6,12,10,12,27,22,25,30,40,22,50
10,205,2,4,9,8,10,12,21,26,25,30,40,18,0
11,187,2,6,9,8,10,6,28,0,25,30,40,23,0
12,203,0,8,9,12,5,12,28,8,25,30,40,26,0
13,268,1,0,6,8,15,18,28,27,25,30,40,20,50
14,213,1,2,6,8,15,6,26,27,25,30,40,27,0
15,206,1,4,9,8,10,12,26,23,25,30,40,18,0
16,205,1,2,6,8,10,18,17,22,25,30,40,26,0
17,229,0,6,6,8,20,18,29,22,25,30,40,25,0
18,268,0,4,9,12,15,12,19,27,25,30,40,25,50
19,215,3,4,9,12,15,18,27,14,25,30,40,18,0
20,276,0,6,9,12,10,18,27,29,25,30,40,20,50
21,206,2,8,9,4,10,12,28,16,25,30,40,22,0
22,196,3,2,6,12,10,6,25,21,25,30,40,16,0
23,235,2,4,3,12,5,12,24,7,25,30,40,21,50
24,217,0,4,6,8,10,12,28,29,25,30,40,25,0
25,419,100,6,9,12,20,18,25,26,25,30,40,23,50
26,158,1,4,3,8,5,18,23,18,25,30,0,23,0
27,192,1,2,6,12,15,6,21,13,25,30,40,21,0
28,176,1,4,6,4,5,12,23,0,25,30,40,26,0
29,200,1,6,6,12,10,6,18,27,25,30,40,19,0
30,224,2,4,6,8,20,12,26,26,25,30,40,25,0
31,197,0,6,6,4,10,12,17,26,25,30,40,21,0
32,498,0,2,115,120,10,12,8,25,25,30,40,26,50
33,201,1,2,6,12,15,12,19,17,25,30,40,22,0
34,185,0,4,3,8,10,18,22,11,25,30,40,14,0
35,226,3,4,12,4,15,18,23,25,25,30,40,27,0
36,207,2,6,12,16,5,12,22,19,25,30,40,18,0
37,215,3,8,9,4,10,12,28,25,25,30,40,21,0
38,200,0,2,9,4,5,12,20,27,25,30,40,26,0
39,207,2,4,12,4,15,6,22,26,25,30,40,21,0
40,154,0,4,6,4,15,12,16,24,25,30,0,18,0
41,257,0,4,6,8,20,18,24,29,0,30,40,28,50
42,202,2,6,12,8,5,12,21,21,25,30,40,20,0
43,228,0,4,6,8,10,12,20,0,25,30,40,23,50
44,136,1,2,3,8,5,18,27,0,25,30,0,17,0
45,212,0,6,6,12,10,12,27,26,25,30,40,18,0
46,229,4,4,9,8,15,18,25,29,25,30,40,22,0
47,223,2,8,9,12,10,12,27,24,25,30,40,24,0
48,190,3,6,3,4,15,12,23,12,25,30,40,17,0
49,219,0,6,9,12,10,18,24,22,25,30,40,23,0
50,224,1,6,9,8,10,24,25,26,25,30,40,20,0
51,218,3,4,6,4,10,24,20,28,25,30,40,24,0
52,199,3,4,6,16,10,12,20,13,25,30,40,20,0
53,210,3,4,9,12,15,12,23,18,25,30,40,19,0
54,187,0,6,6,12,5,18,20,0,25,30,40,25,0
55,262,2,8,12,12,10,24,22,22,25,30,40,20,0
56,197,1,2,6,4,5,18,23,22,25,30,40,21,0
57,229,0,2,3,8,10,12,27,0,25,30,40,22,50
58,230,0,4,6,8,5,18,23,0,25,30,40,21,50
59,119,1,2,3,8,5,12,24,17,0,30,0,17,0
60,218,3,4,3,8,15,24,24,19,25,30,40,23,0
61,177,2,4,9,8,10,12,23,0,25,30,40,14,0
62,198,1,6,9,16,10,6,18,13,25,30,40,24,0
63,194,2,4,6,4,10,12,21,18,25,30,40,22,0
64,254,2,4,6,8,10,6,26,26,25,30,40,21,50
65,210,0,4,6,4,5,6,22,0,25,30,40,18,50
66,230,2,2,12,12,15,18,25,23,25,30,40,26,0
67,280,0,6,9,8,20,24,26,29,25,30,40,28,0
68,214,4,8,6,8,10,18,27,21,25,30,40,17,0
69,206,3,4,3,12,5,24,21,14,25,30,40,25,0
70,203,2,0,9,4,10,6,24,10,0,30,40,18,50
71,193,2,4,6,8,10,6,24,13,25,30,40,25,0
72,410,0,110,6,12,15,12,27,28,25,30,40,20,50
73,255,3,6,9,4,10,12,28,17,25,30,40,21,50
74,172,0,4,6,8,5,12,22,0,25,30,40,20,0
75,240,1,6,6,4,10,12,24,8,25,30,40,24,50
76,192,0,6,6,8,10,12,29,0,25,30,40,26,0
77,210,2,4,9,16,5,12,27,18,25,30,40,22,0
78,421,1,4,9,12,15,130,25,27,25,30,40,18,50
79,210,0,2,9,8,10,12,25,26,25,30,40,23,0
80,255,1,2,6,8,15,18,29,9,25,30,40,22,50
81,207,2,0,9,12,5,12,25,27,25,30,40,20,0
82,206,2,4,6,8,5,12,26,28,25,30,40,20,0
83,198,1,6,6,4,5,12,17,29,25,30,40,23,0
84,218,4,6,9,12,15,12,27,21,25,30,40,17,0
85,208,3,8,6,8,5,12,27,26,25,30,40,18,0
86,219,4,4,9,12,10,12,25,27,25,30,40,21,0
87,215,1,0,12,12,10,12,24,24,25,30,40,25,0
88,196,0,2,6,8,5,12,25,19,25,30,40,24,0
89,166,2,4,3,4,10,12,15,0,25,30,40,21,0
90,202,4,8,6,12,15,12,24,9,25,30,40,17,0
91,205,0,4,6,8,15,18,29,13,25,30,40,17,0
92,181,2,4,3,8,5,6,19,18,25,30,40,21,0
93,207,3,2,9,8,15,12,23,18,25,30,40,22,0
94,195,1,2,6,8,5,12,17,24,25,30,0,15,50
95,186,0,6,6,8,10,12,24,0,25,30,40,25,0
96,206,1,6,9,8,10,18,20,19,25,30,40,20,0
97,175,0,4,3,4,5,18,22,0,25,30,40,24,0
